image,article,kind,space,config,algo,n,unique,collapse,n_clusters,noise_frac,top_color,top_frac,recall,hits,n_roles,t_dedup_ms,t_core_ms,t_extract_ms,wall_s,ok,error
Amlodipin_10mg,amlodipin_10mg,original,rgb,optics-thr,optics-threshold,34560,6922,4.99,7,0.0473,gray,0.653,0.75,3,4,1.3,56.7,1.3,0.57,1,
Amlodipin_10mg,amlodipin_10mg,original,rgb,optics-xi05,optics-xi,34560,6922,4.99,111,0.0474,white,0.398,1.0,4,4,1.6,38.8,1.8,0.47,1,
Amlodipin_10mg,amlodipin_10mg,original,rgb,optics-xi01,optics-xi,34560,6922,4.99,152,0.0156,gray,0.949,0.25,1,4,2.3,57.6,7.7,0.54,1,
Amlodipin_10mg,amlodipin_10mg,original,rgb,hdbscan-sm,hdbscan,34560,6922,4.99,11,0.6092,white,0.17,1.0,4,4,2.1,124.9,0,0.55,1,
Amlodipin_10mg,amlodipin_10mg,original,rgb,hdbscan-lg,hdbscan,34560,6922,4.99,4,0.3493,white,0.314,1.0,4,4,1.1,171.0,0,0.55,1,
Amlodipin_10mg,amlodipin_10mg,original,rgb,shdbscan,shdbscan,34560,6922,4.99,10,0.6519,white,0.148,1.0,4,4,1.8,2947.3,0,3.33,1,
Amlodipin_10mg,amlodipin_10mg,original,rgb,soptics,soptics,34560,6922,4.99,4,0.0282,blue,0.525,0.75,3,4,2.5,571.3,1.4,1.0,1,
Amlodipin_10mg,amlodipin_10mg,original,lab,optics-thr,optics-threshold,34560,6922,4.99,7,0.04,gray,0.655,0.75,3,4,1.1,50.7,1.2,0.4,1,
Amlodipin_10mg,amlodipin_10mg,original,lab,optics-xi05,optics-xi,34560,6922,4.99,85,0.2047,black,0.254,1.0,4,4,1.1,50.6,2.0,0.45,1,
Amlodipin_10mg,amlodipin_10mg,original,lab,optics-xi01,optics-xi,34560,6922,4.99,186,0.0141,gray,0.95,0.25,1,4,1.2,56.1,2.9,0.47,1,
Amlodipin_10mg,amlodipin_10mg,original,lab,hdbscan-sm,hdbscan,34560,6922,4.99,33,0.7707,red,0.025,1.0,4,4,2.0,145.7,0,0.55,1,
Amlodipin_10mg,amlodipin_10mg,original,lab,hdbscan-lg,hdbscan,34560,6922,4.99,6,0.3958,white,0.321,1.0,4,4,1.2,139.3,0,0.43,1,
Amlodipin_10mg,amlodipin_10mg,original,lab,shdbscan,shdbscan,34560,6922,4.99,32,0.79,red,0.025,1.0,4,4,1.4,2841.7,0,3.17,1,
Amlodipin_10mg,amlodipin_10mg,original,lab,soptics,soptics,34560,6922,4.99,2,0.0352,gray,0.717,0.25,1,4,1.1,468.6,1.3,0.79,1,
Amlodipin_10mg_01,amlodipin_10mg,original,rgb,optics-thr,optics-threshold,35072,8087,4.34,7,0.0486,gray,0.715,0.5,2,4,2.3,49.0,1.7,0.37,1,
Amlodipin_10mg_01,amlodipin_10mg,original,rgb,optics-xi05,optics-xi,35072,8087,4.34,95,0.0291,gray,0.745,0.5,2,4,1.2,49.5,2.1,0.38,1,
Amlodipin_10mg_01,amlodipin_10mg,original,rgb,optics-xi01,optics-xi,35072,8087,4.34,139,0.0155,gray,0.745,0.5,2,4,1.2,49.6,3.6,0.38,1,
