image,article,space,algo,voxel,n,unique,collapse,n_clusters,recall,t_core_ms
Bild_Koeln_01,bild_koeln,rgb,optics-thr,0,49920,15420,3.24,3,0.25,157.7
Bild_Koeln_01,bild_koeln,rgb,optics-thr,4,49920,4320,11.56,4,0.5,19.3
Bild_Koeln_01,bild_koeln,rgb,optics-thr,8,49920,967,51.62,43,0.75,2.6
Bild_Koeln_01,bild_koeln,rgb,optics-thr,16,49920,208,240,52,0.75,0.4
Bild_Koeln_01,bild_koeln,rgb,hdbscan-sm,0,49920,15420,3.24,9,0.75,833.7
Bild_Koeln_01,bild_koeln,rgb,hdbscan-sm,4,49920,4320,11.56,8,0.75,58.0
Bild_Koeln_01,bild_koeln,rgb,hdbscan-sm,8,49920,967,51.62,1,0.0,7.0
Bild_Koeln_01,bild_koeln,rgb,hdbscan-sm,16,49920,208,240,1,0.0,3.8
Bild_Koeln_01,bild_koeln,lab,optics-thr,0,49920,15420,3.24,4,0.5,166.7
Bild_Koeln_01,bild_koeln,lab,optics-thr,2,49920,3904,12.79,4,0.5,17.0
Bild_Koeln_01,bild_koeln,lab,optics-thr,4,49920,850,58.73,47,0.75,2.3
Bild_Koeln_01,bild_koeln,lab,optics-thr,8,49920,173,288.56,50,0.75,0.3
Bild_Koeln_01,bild_koeln,lab,hdbscan-sm,0,49920,15420,3.24,23,0.75,702.9
Bild_Koeln_01,bild_koeln,lab,hdbscan-sm,2,49920,3904,12.79,7,0.75,41.6
Bild_Koeln_01,bild_koeln,lab,hdbscan-sm,4,49920,850,58.73,1,0.0,6.1
Bild_Koeln_01,bild_koeln,lab,hdbscan-sm,8,49920,173,288.56,1,0.0,3.2
Spiegel_Mutante_01,spiegel_mutante,rgb,optics-thr,0,51968,12557,4.14,3,0.5,166.4
Spiegel_Mutante_01,spiegel_mutante,rgb,optics-thr,4,51968,4518,11.5,2,0.5,30.4
Spiegel_Mutante_01,spiegel_mutante,rgb,optics-thr,8,51968,1528,34.01,2,0.5,5.6
Spiegel_Mutante_01,spiegel_mutante,rgb,optics-thr,16,51968,391,132.91,36,1.0,0.9
Spiegel_Mutante_01,spiegel_mutante,rgb,hdbscan-sm,0,51968,12557,4.14,8,1.0,484.5
Spiegel_Mutante_01,spiegel_mutante,rgb,hdbscan-sm,4,51968,4518,11.5,7,1.0,64.9
Spiegel_Mutante_01,spiegel_mutante,rgb,hdbscan-sm,8,51968,1528,34.01,4,0.75,11.6
Spiegel_Mutante_01,spiegel_mutante,rgb,hdbscan-sm,16,51968,391,132.91,2,0.25,4.1
Spiegel_Mutante_01,spiegel_mutante,lab,optics-thr,0,51968,12557,4.14,3,0.5,212.3
Spiegel_Mutante_01,spiegel_mutante,lab,optics-thr,2,51968,3827,13.58,1,0.25,23.6
Spiegel_Mutante_01,spiegel_mutante,lab,optics-thr,4,51968,1250,41.57,1,0.25,4.0
Spiegel_Mutante_01,spiegel_mutante,lab,optics-thr,8,51968,307,169.28,27,1.0,0.7
Spiegel_Mutante_01,spiegel_mutante,lab,hdbscan-sm,0,51968,12557,4.14,13,1.0,417.8
Spiegel_Mutante_01,spiegel_mutante,lab,hdbscan-sm,2,51968,3827,13.58,5,1.0,41.9
Spiegel_Mutante_01,spiegel_mutante,lab,hdbscan-sm,4,51968,1250,41.57,3,0.75,8.9
Spiegel_Mutante_01,spiegel_mutante,lab,hdbscan-sm,8,51968,307,169.28,1,0.0,4.0
